2018-01-24 21:36:00.789 @ IC1803|21:36:00.789|3|6403.600000|673|1|6403.800000|1|6405.200000|1|10355|6391.600000|6438.600000|6382.000000|6390.000000|7040.200000|5760.200000
2018-01-24 21:36:00.790 @ al1802|21:36:00.789|3|14655.000000|21248|1|14655.000000|6|14660.000000|24|108072|14600.000000|14680.000000|14505.000000|14570.000000|15280.000000|13825.000000
2018-01-24 21:36:00.790 @ al1803|21:36:00.790|3|14740.000000|168680|1|14740.000000|75|14745.000000|133|316918|14660.000000|14770.000000|14585.000000|14640.000000|15365.000000|13900.000000
2018-01-24 21:36:00.791 @ cu1802|21:36:00.790|3|53520.000000|34614|1|53510.000000|97|53520.000000|13|83234|52800.000000|53990.000000|52670.000000|52620.000000|55260.000000|49990.000000
2018-01-24 21:36:00.791 @ cu1803|21:36:00.790|3|53640.000000|296362|1|53640.000000|25|53650.000000|19|220598|52890.000000|54130.000000|52790.000000|52730.000000|55390.000000|50120.000000
2018-01-24 21:36:00.791 @ i1805|21:36:00.791|3|527.000000|1382738|1|526.500000|1154|527.000000|1724|1692938|523.000000|530.500000|518.500000|522.000000|563.000000|480.000000
2018-01-24 21:36:00.792 @ y1805|21:36:00.791|3|5786.000000|188412|1|5786.000000|361|5788.000000|268|884822|5788.000000|5796.000000|5758.000000|5780.000000|6070.000000|5494.000000
2018-01-24 21:36:00.792 @ v1805|21:36:00.792|3|6850.000000|166478|1|6845.000000|246|6850.000000|283|285566|6855.000000|6905.000000|6835.000000|6820.000000|7120.000000|6450.000000
2018-01-24 21:36:00.792 @ sn1805|21:36:00.792|3|147180.000000|11338|1|147180.000000|8|147230.000000|2|20340|146970.000000|148030.000000|146850.000000|146600.000000|153850.000000|139200.000000
2018-01-24 21:36:00.792 @ ru1805|21:36:00.792|3|13820.000000|241770|1|13820.000000|23|13825.000000|145|488716|13785.000000|13900.000000|13700.000000|13775.000000|14740.000000|12815.000000
2018-01-24 21:36:00.793 @ al1802|21:36:00.792|3|14655.000000|21248|1|14655.000000|8|14660.000000|24|108072|14600.000000|14680.000000|14505.000000|14570.000000|15280.000000|13825.000000
2018-01-24 21:36:00.793 @ al1803|21:36:00.793|3|14740.000000|168680|1|14740.000000|48|14745.000000|136|316918|14660.000000|14770.000000|14585.000000|14640.000000|15365.000000|13900.000000
2018-01-24 21:36:00.793 @ cu1802|21:36:00.793|3|53520.000000|34614|1|53510.000000|97|53520.000000|18|83234|52800.000000|53990.000000|52670.000000|52620.000000|55260.000000|49990.000000
2018-01-24 21:36:00.794 @ cu1803|21:36:00.793|3|53640.000000|296362|1|53640.000000|25|53650.000000|20|220598|52890.000000|54130.000000|52790.000000|52730.000000|55390.000000|50120.000000
2018-01-24 21:36:00.794 @ i1805|21:36:00.793|3|526.500000|1382740|1|526.500000|1153|527.000000|1749|1692940|523.000000|530.500000|518.500000|522.000000|563.000000|480.000000
2018-01-24 21:36:01.034 @ ru1805|21:36:01.033|3|13820.000000|241770|1|13820.000000|22|13825.000000|145|488716|13785.000000|13900.000000|13700.000000|13775.000000|14740.000000|12815.000000
2018-01-24 21:36:01.072 @ cu1802|21:36:01.072|3|53520.000000|34614|1|53510.000000|97|53520.000000|19|83234|52800.000000|53990.000000|52670.000000|52620.000000|55260.000000|49990.000000
2018-01-24 21:36:01.074 @ cu1803|21:36:01.073|3|53640.000000|296362|1|53640.000000|26|53650.000000|20|220598|52890.000000|54130.000000|52790.000000|52730.000000|55390.000000|50120.000000
2018-01-24 21:36:01.772 @ i1805|21:36:01.772|3|526.500000|1382772|1|526.500000|1137|527.000000|1849|1692970|523.000000|530.500000|518.500000|522.000000|563.000000|480.000000
2018-01-24 21:36:01.773 @ ru1805|21:36:01.772|3|13820.000000|241770|1|13820.000000|23|13825.000000|145|488716|13785.000000|13900.000000|13700.000000|13775.000000|14740.000000|12815.000000
2018-01-24 21:36:01.773 @ al1802|21:36:01.773|3|14655.000000|21248|1|14655.000000|8|14660.000000|24|108072|14600.000000|14680.000000|14505.000000|14570.000000|15280.000000|13825.000000
2018-01-24 21:36:01.773 @ al1803|21:36:01.773|3|14740.000000|168686|1|14740.000000|45|14745.000000|136|316918|14660.000000|14770.000000|14585.000000|14640.000000|15365.000000|13900.000000
2018-01-24 21:36:01.774 @ cu1802|21:36:01.773|3|53520.000000|34614|1|53510.000000|97|53520.000000|29|83234|52800.000000|53990.000000|52670.000000|52620.000000|55260.000000|49990.000000
2018-01-24 21:36:01.774 @ cu1803|21:36:01.774|3|53640.000000|296362|1|53640.000000|25|53650.000000|20|220598|52890.000000|54130.000000|52790.000000|52730.000000|55390.000000|50120.000000
2018-01-24 21:36:01.856 @ y1805|21:36:01.856|3|5786.000000|188412|1|5786.000000|361|5788.000000|269|884822|5788.000000|5796.000000|5758.000000|5780.000000|6070.000000|5494.000000
2018-01-24 21:36:01.856 @ i1805|21:36:01.856|3|526.500000|1382812|1|526.500000|1121|527.000000|1862|1692990|523.000000|530.500000|518.500000|522.000000|563.000000|480.000000
2018-01-24 21:36:02.754 @ ru1805|21:36:02.753|3|13820.000000|241770|1|13820.000000|26|13825.000000|145|488716|13785.000000|13900.000000|13700.000000|13775.000000|14740.000000|12815.000000
2018-01-24 21:36:02.754 @ sn1805|21:36:02.754|3|147180.000000|11338|1|147190.000000|1|147230.000000|2|20340|146970.000000|148030.000000|146850.000000|146600.000000|153850.000000|139200.000000
2018-01-24 21:36:02.754 @ al1802|21:36:02.754|3|14655.000000|21248|1|14655.000000|8|14660.000000|25|108072|14600.000000|14680.000000|14505.000000|14570.000000|15280.000000|13825.000000
2018-01-24 21:36:02.754 @ al1803|21:36:02.754|3|14740.000000|168706|1|14740.000000|35|14745.000000|136|316904|14660.000000|14770.000000|14585.000000|14640.000000|15365.000000|13900.000000
2018-01-24 21:36:02.755 @ cu1803|21:36:02.754|3|53650.000000|296372|1|53640.000000|25|53650.000000|15|220600|52890.000000|54130.000000|52790.000000|52730.000000|55390.000000|50120.000000
2018-01-24 21:36:02.755 @ v1805|21:36:02.755|3|6850.000000|166478|1|6845.000000|250|6850.000000|283|285566|6855.000000|6905.000000|6835.000000|6820.000000|7120.000000|6450.000000
2018-01-24 21:36:02.755 @ i1805|21:36:02.755|3|527.000000|1382846|1|526.500000|1118|527.000000|1848|1692976|523.000000|530.500000|518.500000|522.000000|563.000000|480.000000
2018-01-24 21:36:03.002 @ ru1805|21:36:03.002|3|13820.000000|241770|1|13820.000000|28|13825.000000|145|488716|13785.000000|13900.000000|13700.000000|13775.000000|14740.000000|12815.000000
2018-01-24 21:36:03.003 @ sn1805|21:36:03.002|3|147180.000000|11338|1|147190.000000|1|147240.000000|2|20340|146970.000000|148030.000000|146850.000000|146600.000000|153850.000000|139200.000000
2018-01-24 21:36:03.003 @ v1805|21:36:03.002|3|6850.000000|166480|1|6845.000000|250|6850.000000|282|285568|6855.000000|6905.000000|6835.000000|6820.000000|7120.000000|6450.000000
2018-01-24 21:36:03.003 @ al1802|21:36:03.003|3|14655.000000|21248|1|14655.000000|2|14660.000000|25|108072|14600.000000|14680.000000|14505.000000|14570.000000|15280.000000|13825.000000
2018-01-24 21:36:03.003 @ al1803|21:36:03.003|3|14740.000000|168706|1|14740.000000|35|14745.000000|136|316904|14660.000000|14770.000000|14585.000000|14640.000000|15365.000000|13900.000000
2018-01-24 21:36:03.004 @ i1805|21:36:03.003|3|527.000000|1382862|1|526.500000|1112|527.000000|1862|1692984|523.000000|530.500000|518.500000|522.000000|563.000000|480.000000
2018-01-24 21:36:03.004 @ cu1802|21:36:03.004|3|53520.000000|34614|1|53510.000000|97|53520.000000|29|83234|52800.000000|53990.000000|52670.000000|52620.000000|55260.000000|49990.000000
2018-01-24 21:36:03.004 @ cu1803|21:36:03.004|3|53650.000000|296402|1|53640.000000|33|53660.000000|26|220604|52890.000000|54130.000000|52790.000000|52730.000000|55390.000000|50120.000000
2018-01-24 21:36:03.249 @ ru1805|21:36:03.249|3|13820.000000|241770|1|13820.000000|29|13825.000000|145|488716|13785.000000|13900.000000|13700.000000|13775.000000|14740.000000|12815.000000
2018-01-24 21:36:03.250 @ sn1805|21:36:03.249|3|147180.000000|11338|1|147190.000000|1|147230.000000|1|20340|146970.000000|148030.000000|146850.000000|146600.000000|153850.000000|139200.000000
2018-01-24 21:36:03.250 @ al1803|21:36:03.250|3|14740.000000|168706|1|14740.000000|36|14745.000000|136|316904|14660.000000|14770.000000|14585.000000|14640.000000|15365.000000|13900.000000
2018-01-24 21:36:03.250 @ cu1802|21:36:03.250|3|53520.000000|34618|1|53510.000000|97|53520.000000|16|83230|52800.000000|53990.000000|52670.000000|52620.000000|55260.000000|49990.000000
2018-01-24 21:36:03.251 @ cu1803|21:36:03.250|3|53650.000000|296402|1|53650.000000|3|53660.000000|25|220604|52890.000000|54130.000000|52790.000000|52730.000000|55390.000000|50120.000000
